Humidity,Temperature,Hour,Minute,Humidity_Future,Temperature_Future,Hour_Future,Minute_Future
66.0,33.5,16.0,53.0,89.0,28.0,22.0,53.0
67.0,33.5,16.0,53.0,89.0,28.0,22.0,53.0
66.0,33.5,16.0,53.0,89.0,27.8,22.0,53.0
66.0,33.5,16.0,53.0,89.0,27.8,22.0,53.0
66.0,33.5,16.0,53.0,89.0,27.8,22.0,54.0
66.0,33.5,16.0,54.0,89.0,27.8,22.0,54.0
66.0,33.5,16.0,54.0,89.0,27.8,22.0,54.0
66.0,33.5,16.0,54.0,89.0,27.8,22.0,54.0
66.0,33.5,16.0,54.0,89.0,27.8,22.0,54.0
66.0,33.5,16.0,54.0,88.0,28.1,22.0,54.0
66.0,33.5,16.0,55.0,88.0,28.1,22.0,55.0
66.0,33.5,16.0,55.0,88.0,28.1,22.0,55.0
66.0,33.5,16.0,55.0,88.0,28.1,22.0,55.0
67.0,33.9,16.0,55.0,88.0,28.1,22.0,55.0
66.0,33.9,16.0,55.0,88.0,27.9,22.0,55.0
66.0,33.9,16.0,55.0,88.0,27.8,22.0,55.0
66.0,33.6,16.0,56.0,88.0,27.8,22.0,56.0
66.0,33.7,16.0,56.0,89.0,27.8,22.0,56.0
66.0,33.9,16.0,56.0,89.0,27.8,22.0,56.0
65.0,33.9,16.0,56.0,89.0,27.8,22.0,56.0
65.0,33.9,16.0,56.0,89.0,27.8,22.0,56.0
65.0,33.9,16.0,56.0,89.0,27.8,22.0,56.0
65.0,33.9,16.0,57.0,89.0,27.8,22.0,57.0
65.0,33.7,16.0,57.0,89.0,27.8,22.0,57.0
66.0,33.6,16.0,57.0,89.0,27.8,22.0,57.0
66.0,33.6,16.0,57.0,89.0,27.8,22.0,57.0
